Trip_ID,Driver_ID,Vehicle_ID,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Telemetry_Minutes,Trip_Accel_Mag_Mean,Trip_Accel_Mag_Std,Trip_Gyro_Mag_Mean,Trip_Gyro_Mag_Std,Trip_Extreme_Braking_Count,Trip_Harsh_Acceleration_Count,Trip_Extreme_Rot_Count,Trip_High_Speed_Minutes,Is_Anomalous
T00077,D06,V06,38,14.71,23.0,51.3,38,1.0203689651287646,0.05875226276908373,4.331937101986466,7.139936209663672,4,6,1,4,False
T00078,D06,V06,30,16.2,28.4,70.0,30,1.0229275085024327,0.052744789077529865,4.278891346111256,5.591636813736379,4,3,2,6,False
T00079,D06,V06,16,10.56,26.1,58.1,16,1.0286322431910102,0.08903494905009075,4.096882689828629,6.285334441446589,3,3,1,2,False
T00080,D06,V06,40,3.39,17.7,54.4,40,1.0243562297424504,0.06990737159202044,5.165477695759958,8.970891112847745,3,3,2,2,False
T00081,D06,V06,36,12.28,25.7,58.3,36,1.0199149110936832,0.05893159924511006,6.22075536139749,10.297982324446165,7,6,3,7,False
T00082,D06,V06,43,13.82,24.9,55.3,43,1.0239017089928468,0.07173719959249543,5.913722134257785,10.054199895125501,9,6,3,8,False
T00083,D06,V06,36,17.44,23.3,48.7,36,1.009313640640437,0.05177729602200923,6.946169050339105,11.387043864307241,1,2,4,5,False
T00084,D06,V06,40,10.42,24.3,48.2,40,1.0102770525026028,0.059919836933237866,4.187228937867522,5.133248466353228,1,3,1,4,False
T00085,D06,V06,20,11.43,25.4,49.3,20,1.0148498225380158,0.0339835516646639,9.969676260288539,16.475582739156092,1,1,3,2,False
T00086,D06,V06,22,12.86,36.4,61.3,22,1.0251965873987423,0.06337607258091332,4.214988059256662,5.430942497030646,2,2,1,11,False
T00087,D06,V06,36,17.77,25.5,49.6,36,1.014609865373628,0.07431718876628245,7.685404472299818,13.193135218738941,2,3,4,3,False
T00088,D06,V06,42,18.52,27.9,73.6,42,1.040111636777886,0.07337589283913144,5.689427488842865,10.328663672525852,4,7,3,11,False
T00089,D06,V06,38,17.55,35.8,63.4,38,1.0278321061300446,0.07974709028234432,3.9218063830188328,4.500730626501879,5,7,1,16,False
T00090,D06,V06,14,26.46,17.4,44.2,14,1.0285850977133126,0.06029016673830996,5.8081321262382515,12.087894824856258,1,2,1,1,False
T00091,D07,V07,44,10.44,16.2,34.5,44,1.021189165512249,0.06240421172754244,4.076777865927507,5.588269520815562,1,0,1,0,False
T00092,D07,V07,41,16.75,30.9,44.8,41,1.025752564143854,0.08843256798892671,5.551050069811775,9.157479140052889,1,1,4,5,False
T00093,D07,V07,32,19.64,17.4,30.8,32,1.002345252490736,0.04210732596478562,5.261842288252251,8.830803681457843,1,0,2,0,False
T00094,D07,V07,44,25.77,28.5,48.6,44,1.0169094252851119,0.04893296642069604,3.185082905279165,1.295298861140863,4,2,0,6,False
T00095,D07,V07,42,19.42,18.1,32.4,42,1.0447879479400857,0.09427955850710427,5.043040248442078,7.829550951533333,0,0,3,0,False
T00096,D07,V07,16,6.28,31.3,43.8,16,1.0057948292857546,0.029102327641886527,2.928727891764805,1.1325795623555426,1,0,0,2,False
T00097,D07,V07,16,9.24,22.0,33.5,16,1.004987534016961,0.030939622415410734,6.782623759760618,12.40559024240414,0,0,1,0,False
T00098,D07,V07,31,9.44,27.6,39.9,31,1.0127103427892237,0.030533920940343347,5.922099918342183,10.648528551357566,1,2,2,0,False
T00099,D07,V07,18,10.56,33.7,47.6,18,1.0076250380373584,0.046272269019620636,2.725570181041415,1.168141041744169,0,0,0,5,False
T00100,D07,V07,42,12.41,28.4,45.7,42,1.0144356965176695,0.04131087983129095,4.2263465413799315,7.124291468940181,4,3,1,4,False
T00101,D07,V07,25,14.96,27.1,44.1,25,1.0082974892250343,0.03953760370536207,4.386377746856946,7.273990068922955,3,2,1,2,False
T00102,D07,V07,20,11.13,28.5,54.4,20,0.9976887491984876,0.0309857305487458,3.301551005186181,1.288769694894328,2,3,0,4,False
T00103,D07,V07,36,23.1,30.2,47.4,36,1.0138287141489377,0.03719914792265944,4.5440086697518085,7.33922235571499,1,1,1,7,False
T00104,D07,V07,16,11.59,22.0,34.0,16,1.0093591234192152,0.03711923088848958,6.246101217713312,12.263900992341398,0,0,1,0,False
T00105,D07,V07,39,16.29,17.2,35.0,39,1.020325352074397,0.05569131573992069,5.8927602341933145,9.90209825726756,0,0,3,0,False
T00106,D08,V08,37,10.51,26.5,46.3,37,1.0250274493538702,0.06350676661905759,4.190319786793029,7.865902934542509,1,1,1,2,False
T00107,D08,V08,33,18.92,25.3,46.0,33,0.9945281448149799,0.02591595951270454,4.15737992935431,4.483453747039861,2,0,1,3,False
T00108,D08,V08,39,21.96,21.9,36.9,39,1.001240347832276,0.04301128035496884,3.3713381556827167,1.29742236925736,1,2,0,0,False
T00109,D08,V08,20,5.66,29.3,48.0,20,0.9981045867437359,0.037764281663970896,2.7637064450167914,1.3872299872967788,1,1,0,4,False
T00110,D08,V08,31,9.94,20.5,36.4,31,1.0298553126311611,0.09768863571002326,4.950029535615533,7.551713791126157,0,0,2,0,False
T00111,D08,V08,41,12.96,18.8,34.4,41,1.0274407723336973,0.12509095023219768,5.379967835471613,9.468980792119241,1,1,3,0,False
T00112,D08,V08,16,8.37,29.0,39.8,16,1.016088355111629,0.052811787639187945,5.387318573908213,7.236988219471676,1,1,1,0,False
T00113,D08,V08,45,29.76,18.5,36.9,45,1.015308849919457,0.042676443200112504,4.7553809934931985,8.117489567009791,1,2,2,0,False
T00114,D08,V08,40,14.46,20.3,40.3,40,1.02732308876251,0.05508474864970337,5.066354514738181,9.2819970182699,1,1,2,1,False
T00115,D08,V08,11,8.99,24.9,40.4,11,1.0132915814843957,0.06187235232425972,2.9619384035589316,0.9847095931669625,1,1,0,1,False
T00116,D08,V08,20,19.44,25.8,39.8,20,0.9997422955610119,0.041567857855981244,2.951620993825745,1.5586882166228995,0,0,1,0,False
T00117,D08,V08,39,16.03,29.6,56.3,39,1.0204985375130593,0.10296098678812107,4.090166023614303,4.115562998103327,2,3,1,6,False
T00118,D08,V08,16,11.92,26.6,36.6,16,1.009430274269347,0.054941994998467324,5.175785282588521,7.800238232843239,0,1,1,0,False
T00119,D08,V08,35,12.23,27.6,47.3,35,1.0481012410773327,0.1520510359197755,4.876679724760782,7.593698665135122,1,1,2,2,True
T00120,D08,V08,43,13.03,24.4,45.2,43,1.0146393896892052,0.05024702841676381,4.838298969283347,8.135288376374872,1,1,2,3,False
T00121,D09,V09,13,12.7,23.5,29.4,13,1.0176065521836457,0.03281991822541015,3.0053928766072766,1.3693543960597239,0,0,0,0,False
T00122,D09,V09,11,5.1,29.6,38.7,11,1.0204179840149743,0.025724534761532126,2.9219195319688627,1.043884511604971,0,1,0,0,False
T00123,D09,V09,43,18.24,20.7,31.0,43,1.0000781431078722,0.04238863003159682,3.5328331283721903,3.5554390718884648,1,0,2,0,False
T00124,D09,V09,13,10.78,21.6,30.0,13,1.0123140565888546,0.11350743765058832,3.212176179305433,1.8223774423889196,0,0,0,0,False
T00125,D09,V09,14,6.35,23.2,30.4,14,1.0166023124160621,0.033319360812518836,3.3878693865658738,1.2342071349025534,0,0,0,0,False
T00126,D09,V09,39,25.93,19.9,31.7,39,1.0153011598287631,0.0458411557114019,3.0531734367504484,1.3198738639866991,0,1,0,0,False
T00127,D09,V09,26,17.56,24.1,34.7,26,1.0055694930460615,0.050785376254296376,3.2397027096945807,1.1939143214274186,0,0,0,0,False
T00128,D09,V09,25,16.75,31.0,38.4,25,0.9986484493216631,0.03218427843809544,3.366624237607061,1.3955708370429911,0,0,0,0,False
T00129,D09,V09,34,26.33,27.7,38.7,34,1.0296183209756389,0.13513078353999672,3.400498784193315,1.7030816332664374,1,2,0,0,False
T00130,D09,V09,30,21.87,27.8,39.4,30,0.9996380609265859,0.02336842432536293,2.9344954521905326,1.404150169199081,2,3,0,0,False
T00131,D09,V09,34,12.8,24.2,30.0,34,1.0116326606885848,0.044142412147493496,4.614326337207261,8.580963326982626,0,1,1,0,False
T00132,D09,V09,38,17.92,31.0,40.7,38,0.9980431687167156,0.03164057793237681,3.9906929882100344,5.294027333285784,1,2,1,3,False
T00133,D09,V09,13,8.4,23.4,32.5,13,1.0048810508404284,0.03632372686902881,3.377356382251502,1.384937732488528,0,0,0,0,False
T00134,D09,V09,41,26.77,28.6,39.5,41,1.0188851986527563,0.0577546601192628,2.946829259181044,1.2764774773435534,1,2,0,0,False
T00135,D09,V09,22,12.36,29.3,38.0,22,1.0178070930461154,0.10747134049648785,4.959813023935224,5.746912234646225,2,1,1,0,False
T00136,D10,V10,37,18.61,21.5,38.9,37,1.0410778762570976,0.10858018747251987,3.4021798712711115,1.97363925394853,1,1,1,0,False
T00137,D10,V10,42,21.89,17.8,39.7,42,1.050914578982218,0.1494842354581124,4.7245842606603174,8.092288635371503,0,1,2,0,True
T00138,D10,V10,39,25.16,16.9,34.8,39,1.0076694712601584,0.044429788170312026,3.0950756144914076,1.4138931944573314,2,1,0,0,False
T00139,D10,V10,15,7.31,21.2,31.6,15,1.0237484819034897,0.0796490906613448,3.149178077653967,1.4419000740182824,0,0,0,0,False
T00140,D10,V10,13,5.75,20.5,36.6,13,1.0126904410946982,0.0411125656992813,6.752270579899447,12.704120218147462,0,0,1,0,False
T00141,D10,V10,26,16.08,19.8,38.4,26,1.0041790496136704,0.04276463222880402,3.404122210871658,1.3684553527200904,1,3,0,0,False
T00142,D10,V10,30,11.83,19.1,33.8,30,1.0828785024482055,0.19743287537321685,4.451644089277311,3.340163877210691,0,0,2,0,True
T00143,D10,V10,40,18.61,23.2,38.2,40,1.0263993285056086,0.11345096509171546,4.791673114457237,7.480833887714464,1,1,2,0,False
T00144,D10,V10,40,5.92,16.9,34.2,40,1.0423296563580382,0.10462380704970253,7.129098904547412,12.356735267494999,0,0,4,0,False
T00145,D10,V10,36,8.56,21.1,41.0,36,1.010941245749778,0.04542520228995836,4.1906855260029126,4.802100949725439,1,0,1,1,False
T00146,D10,V10,29,15.6,26.6,46.6,29,1.0054940722572177,0.07438400582025956,5.835055176849617,9.862609589125874,3,1,2,4,False
T00147,D10,V10,31,8.73,28.2,48.4,31,1.0203103823849413,0.06986473395601268,4.310952115456676,8.009315716933267,2,3,1,4,False
T00148,D10,V10,13,3.01,18.1,25.2,13,1.0251643139681585,0.08542378755384622,3.304476925623398,1.322570704609427,0,0,0,0,False
T00149,D10,V10,44,16.59,18.3,35.3,44,1.0127681180686812,0.04585860905186127,5.378345425092852,9.349101587839364,1,1,3,0,False
T00150,D10,V10,35,19.61,32.8,56.7,35,1.010891288248644,0.045245772309778894,4.7795956624787115,6.555438213046778,2,1,1,10,False
T00151,D11,V11,37,15.79,23.3,33.3,37,1.0084169428268956,0.0352853323820879,3.0909494104702175,1.1266392310615563,0,0,0,0,False
T00152,D11,V11,11,5.72,18.4,23.1,11,1.0044826755607021,0.03920471844376346,3.3779269119293436,1.4854732429195214,0,0,0,0,False
T00153,D11,V11,13,6.87,31.3,37.7,13,1.0022364809906177,0.03268596823059792,2.8560610334943743,1.7280311496135226,0,0,0,0,False
T00154,D11,V11,33,11.89,29.4,36.6,33,1.009254977924442,0.03958292507754266,4.73705148427394,8.68022253956904,0,0,1,0,False
T00155,D11,V11,33,13.31,29.9,38.0,33,1.0052403820662539,0.04092391976607208,4.687916439221395,8.830195535319007,1,1,1,0,False
T00156,D11,V11,32,14.27,22.6,31.9,32,1.0039262068894186,0.03126498394833678,3.043233947901297,1.500483453563086,1,1,0,0,False
T00157,D11,V11,27,16.74,27.2,39.1,27,1.0197408913697712,0.06214774290300256,2.8682104751467423,1.3520419613563919,1,1,0,0,False
T00158,D11,V11,37,21.35,28.1,39.9,37,1.005923062309036,0.024990181654233688,4.1898056101537655,4.91601569452559,2,2,1,0,False
T00159,D11,V11,12,18.95,24.1,38.9,12,1.0077982202742388,0.031924579508753666,2.8780337280100134,1.3787762138031014,0,0,0,0,False
T00160,D11,V11,25,13.77,30.8,39.3,25,0.9999991142950965,0.023423888470214267,3.2600581974493177,1.4093203700585557,1,0,0,0,False
T00161,D11,V11,17,10.55,16.0,26.6,17,1.0025409832143075,0.035924233278807755,3.147885187925494,1.184488822812074,0,0,0,0,False
T00162,D11,V11,11,6.22,28.3,37.0,11,1.0486181615718606,0.20796477188172158,5.253689635056109,3.706530687901345,0,0,1,0,True
T00163,D11,V11,30,19.31,18.0,27.4,30,1.0250743228290502,0.08962026793104146,3.4776115983419618,1.3026356191533497,0,0,0,0,False
T00164,D11,V11,11,4.73,24.3,32.2,11,0.9847210865374663,0.03623423659081603,3.9366282266652943,1.5819462776985402,0,1,0,0,False
T00165,D11,V11,28,17.96,27.4,41.6,28,1.0078658338057622,0.028099630494757364,4.753418612709631,9.454083816366182,2,2,1,1,False
T00166,D12,V12,36,12.8,24.1,47.7,36,1.0131975454252524,0.07154347768869945,3.039114602557918,1.1218564661271098,2,1,0,1,False
T00167,D12,V12,13,7.07,25.2,64.5,13,1.0844679420322476,0.12093547699649623,6.422469771501557,11.155495904276412,2,2,1,1,True
T00168,D12,V12,39,19.61,14.3,46.5,39,1.0227315282519776,0.07274226738713008,4.037837759098354,4.648136816925976,1,4,1,1,False
T00169,D12,V12,16,5.81,25.6,54.6,16,1.0370223936828096,0.06658071793245368,7.994931562888787,12.14513512721752,4,2,2,4,False
T00170,D12,V12,44,13.13,27.7,51.0,44,1.008662883369064,0.06591983492984484,7.855694732577246,13.088913337929432,3,2,6,7,False
T00171,D12,V12,15,6.54,30.3,48.9,15,1.03432189398836,0.045909300524415046,3.160463597952043,1.5434295691807445,1,1,1,2,False
T00172,D12,V12,22,10.84,21.0,48.7,22,1.006507992996049,0.052738582953785154,8.55413044273253,15.241759603629953,2,1,3,2,False
T00173,D12,V12,15,7.81,29.8,45.4,15,1.0213099403317234,0.06939024565773526,5.6077653538881025,9.424585690158573,0,1,1,4,False
T00174,D12,V12,27,12.44,24.7,53.1,27,1.0490200732680275,0.09898230587410714,3.0223294640184406,1.2056735190022052,3,4,0,4,True
T00175,D12,V12,13,16.02,24.1,34.8,13,1.0250956523889856,0.06640014112158675,7.127575120304621,14.162705861279328,1,1,1,0,False
T00176,D12,V12,10,9.34,25.6,40.7,10,1.0244547395667853,0.10111592126064442,8.843413291361566,15.696655742835073,1,0,1,2,False
T00177,D12,V12,20,13.08,25.3,46.2,20,0.9989333492888599,0.054617942671083296,3.3111117916938015,1.5634438043546743,2,1,0,4,False
T00178,D12,V12,41,10.35,17.6,52.4,41,1.0450963680328957,0.13975405562115745,5.0216356458711715,8.654999556679304,3,4,3,1,False
T00179,D12,V12,21,9.38,34.7,63.7,21,1.0467651200268844,0.14744447317501339,5.440631630264318,9.178924982641258,1,3,3,8,True
T00180,D12,V12,28,14.63,22.3,48.8,28,1.0310209985104395,0.08565296424245428,4.439221250516291,6.200465966035398,2,1,1,1,False
T00181,D13,V13,41,13.59,23.1,40.7,41,1.0365416741310944,0.1174661301577848,6.4770694311154084,10.583406510860437,5,1,5,2,False
T00182,D13,V13,35,17.59,16.9,32.2,35,1.0272587241320552,0.12211590195027199,3.6119117039302515,1.8235605484020765,1,0,2,0,False
T00183,D13,V13,25,13.92,17.5,31.7,25,1.0264935943074607,0.13918161413894983,3.2468895873943087,1.637769064176433,0,0,1,0,False
T00184,D13,V13,27,13.15,26.8,43.8,27,1.002883175822549,0.04301344271365986,5.388934821041499,10.74871012002638,2,1,2,3,False
T00185,D13,V13,32,14.95,26.5,40.9,32,1.012449750717416,0.08014283070420185,3.023598136314954,1.4303128230173927,2,0,0,1,False
T00186,D13,V13,40,15.28,32.9,61.8,40,1.0194735529907848,0.05578392151724084,4.115635456301475,7.005450609847262,3,4,1,10,False
T00187,D13,V13,12,5.61,19.0,34.1,12,1.004325487947976,0.038405457823214924,11.245898380096301,18.710065437654794,0,0,2,0,False
T00188,D13,V13,21,7.91,27.2,47.2,21,1.0159082729757458,0.050444027836895874,7.86884516969363,12.823613550016187,1,1,3,2,False
T00189,D13,V13,26,10.33,20.9,40.2,26,1.0145671546572403,0.08339777118328623,5.379145406514785,10.336110026668337,1,0,1,1,False
T00190,D13,V13,14,11.21,34.6,40.9,14,1.0478333527550043,0.20330702586499136,3.972952445701402,2.8418789031031175,0,0,1,2,True
T00191,D13,V13,22,9.64,21.6,43.0,22,1.0138359922180238,0.046974045230922364,5.081737723351224,9.078928292227323,1,0,1,1,False
T00192,D13,V13,45,27.12,28.7,48.6,45,1.0130704350493298,0.05850042993300954,3.503087957369794,3.6116178203500517,3,3,1,5,False
T00193,D13,V13,28,13.45,23.2,37.3,28,1.0160720489157717,0.07500976715141466,3.3556434902955923,1.3109000223062872,2,2,0,0,False
